county,Measure Names,Day of Date,Measure Values
Manitowoc,Number of negatives*,"October 22, 2021",39018
Lincoln,Number of negatives*,"October 22, 2021",13699
Langlade,Number of negatives*,"October 22, 2021",9673
Lafayette,Number of negatives*,"October 22, 2021",8064
La Crosse,Number of negatives*,"October 22, 2021",71169
Kewaunee,Number of negatives*,"October 22, 2021",9484
Kenosha,Number of negatives*,"October 22, 2021",95726
Juneau,Number of negatives*,"October 22, 2021",16261
Jefferson,Number of negatives*,"October 22, 2021",45164
Jackson,Number of negatives*,"October 22, 2021",11121
Iron,Number of negatives*,"October 22, 2021",3215
Iowa,Number of negatives*,"October 22, 2021",13706
Green Lake,Number of negatives*,"October 22, 2021",10034
Green,Number of negatives*,"October 22, 2021",20803
Grant,Number of negatives*,"October 22, 2021",27539
Forest,Number of negatives*,"October 22, 2021",5964
Fond du Lac,Number of negatives*,"October 22, 2021",57916
Florence,Number of negatives*,"October 22, 2021",1881
Eau Claire,Number of negatives*,"October 22, 2021",61992
Dunn,Number of negatives*,"October 22, 2021",24094
Douglas,Number of negatives*,"October 22, 2021",24253
Door,Number of negatives*,"October 22, 2021",18074
Dodge,Number of negatives*,"October 22, 2021",49679
Dane,Number of negatives*,"October 22, 2021",421472
Crawford,Number of negatives*,"October 22, 2021",9034
Columbia,Number of negatives*,"October 22, 2021",34498
Clark,Number of negatives*,"October 22, 2021",13680
Chippewa,Number of negatives*,"October 22, 2021",36321
Calumet,Number of negatives*,"October 22, 2021",26612
Burnett,Number of negatives*,"October 22, 2021",8085
Buffalo,Number of negatives*,"October 22, 2021",6558
Brown,Number of negatives*,"October 22, 2021",165942
Bayfield,Number of negatives*,"October 22, 2021",8832
Barron,Number of negatives*,"October 22, 2021",24144
Ashland,Number of negatives*,"October 22, 2021",9099
Adams,Number of negatives*,"October 22, 2021",10689
Wood,Number of confirmed cases,"October 22, 2021",9865
Winnebago,Number of confirmed cases,"October 22, 2021",22977
Waushara,Number of confirmed cases,"October 22, 2021",2990
Waupaca,Number of confirmed cases,"October 22, 2021",6655
Waukesha,Number of confirmed cases,"October 22, 2021",54883
Washington,Number of confirmed cases,"October 22, 2021",19545
Washburn,Number of confirmed cases,"October 22, 2021",2057
Walworth,Number of confirmed cases,"October 22, 2021",11561
Vilas,Number of confirmed cases,"October 22, 2021",2897
Vernon,Number of confirmed cases,"October 22, 2021",2773
Trempealeau,Number of confirmed cases,"October 22, 2021",4776
Taylor,Number of confirmed cases,"October 22, 2021",2672
St. Croix,Number of confirmed cases,"October 22, 2021",10923
Sheboygan,Number of confirmed cases,"October 22, 2021",16630
Shawano,Number of confirmed cases,"October 22, 2021",6007
Sawyer,Number of confirmed cases,"October 22, 2021",2297
Sauk,Number of confirmed cases,"October 22, 2021",7917
Rusk,Number of confirmed cases,"October 22, 2021",2089
Rock,Number of confirmed cases,"October 22, 2021",19578
Richland,Number of confirmed cases,"October 22, 2021",2076
Racine,Number of confirmed cases,"October 22, 2021",27301
Price,Number of confirmed cases,"October 22, 2021",1669
Portage,Number of confirmed cases,"October 22, 2021",8531
Polk,Number of confirmed cases,"October 22, 2021",6569
Pierce,Number of confirmed cases,"October 22, 2021",5154
Pepin,Number of confirmed cases,"October 22, 2021",1120
Ozaukee,Number of confirmed cases,"October 22, 2021",10891
Outagamie,Number of confirmed cases,"October 22, 2021",25148
Oneida,Number of confirmed cases,"October 22, 2021",4738
Oconto,Number of confirmed cases,"October 22, 2021",5934
Monroe,Number of confirmed cases,"October 22, 2021",6250
Milwaukee,Number of confirmed cases,"October 22, 2021",136236
Menominee,Number of confirmed cases,"October 22, 2021",939
Marquette,Number of confirmed cases,"October 22, 2021",2020
Marinette,Number of confirmed cases,"October 22, 2021",5660
Marathon,Number of confirmed cases,"October 22, 2021",19069
Manitowoc,Number of confirmed cases,"October 22, 2021",9697
Lincoln,Number of confirmed cases,"October 22, 2021",4044
Langlade,Number of confirmed cases,"October 22, 2021",2932
Lafayette,Number of confirmed cases,"October 22, 2021",1913
La Crosse,Number of confirmed cases,"October 22, 2021",16130
Kewaunee,Number of confirmed cases,"October 22, 2021",2940
Kenosha,Number of confirmed cases,"October 22, 2021",19994
Juneau,Number of confirmed cases,"October 22, 2021",4050
Jefferson,Number of confirmed cases,"October 22, 2021",10197
Jackson,Number of confirmed cases,"October 22, 2021",3280
Iron,Number of confirmed cases,"October 22, 2021",715
Iowa,Number of confirmed cases,"October 22, 2021",2614
Green Lake,Number of confirmed cases,"October 22, 2021",2422
Green,Number of confirmed cases,"October 22, 2021",4392
Grant,Number of confirmed cases,"October 22, 2021",6568
Forest,Number of confirmed cases,"October 22, 2021",1406
Fond du Lac,Number of confirmed cases,"October 22, 2021",16478
Florence,Number of confirmed cases,"October 22, 2021",525
Eau Claire,Number of confirmed cases,"October 22, 2021",15364
Dunn,Number of confirmed cases,"October 22, 2021",6335
Douglas,Number of confirmed cases,"October 22, 2021",4782
Door,Number of confirmed cases,"October 22, 2021",3481
Dodge,Number of confirmed cases,"October 22, 2021",14626
Dane,Number of confirmed cases,"October 22, 2021",55687
Crawford,Number of confirmed cases,"October 22, 2021",2175
Columbia,Number of confirmed cases,"October 22, 2021",7344
Clark,Number of confirmed cases,"October 22, 2021",4293
Chippewa,Number of confirmed cases,"October 22, 2021",10416
Calumet,Number of confirmed cases,"October 22, 2021",7046
Burnett,Number of confirmed cases,"October 22, 2021",2009
Buffalo,Number of confirmed cases,"October 22, 2021",1887
Brown,Number of confirmed cases,"October 22, 2021",39730
Bayfield,Number of confirmed cases,"October 22, 2021",1389
Barron,Number of confirmed cases,"October 22, 2021",8010
Ashland,Number of confirmed cases,"October 22, 2021",1533
Adams,Number of confirmed cases,"October 22, 2021",2443
